"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"80" 20807 "F" 2.2 468 17 "2016-01-02" 60 0.368036058310642 0.292150263404281
"81" 20818 "F" 8.8 465 35 "2016-01-05" 60 1.97861879371554 1.90284207187947
"82" 20819 "F" 9.5 465 18 "2016-01-05" 60 2.27895021037655 2.20317348854047
"83" 20810 "F" 4 468 19 "2016-01-02" 60 1.08690660805893 1.01102081315256
"84" 20945 "F" 2.2 365 16 "2016-04-14" 63 0.368036058310642 0.355629436825317
"85" 20949 "F" 1.8 365 18 "2016-04-14" 63 -0.177721033973639 -0.190127655458964
"86" 21305 "M" 1.8 63 16 "2017-02-10" 73 -0.177721033973639 -0.148654212303111
"87" 21303 "M" 2 60 21 "2017-02-13" 73 0.10436893498713 0.133544829727941
"88" 21258 "M" 3.7 115 24 "2016-12-20" 71 1.02622424817121 1.01357758239595
"89" 21304 "M" 2 63 18 "2017-02-10" 73 0.10436893498713 0.133435756657659
"90" 21306 "M" 2.2 63 13 "2017-02-10" 73 0.368036058310642 0.397102879981171
"91" 21289 "M" 2.5 116 24 "2017-01-27" 72 0.517891453898414 0.525119874213507
"92" 20524 "F" 1.5 715 22 "2015-06-10" 53 -0.446949062026105 -0.671195312848846
"93" 20531 "F" 5.5 710 19 "2015-06-15" 53 1.31379002137547 1.0897255590032
"94" 20534 "F" 2 710 19 "2015-06-15" 53 0.10436893498713 -0.11969552738514
"95" 20541 "F" 2 711 20 "2015-06-14" 53 0.10436893498713 -0.119731885075234
"96" 20543 "F" 2 715 19 "2015-06-10" 53 0.10436893498713 -0.119877315835611
"97" 20546 "F" 9 715 21 "2015-06-10" 53 2.13518879331661 1.91094254249387
"98" 20548 "F" 1 711 18 "2015-06-14" 53 -1.20237274604628 -1.42647356610864
"99" 20554 "F" 2 703 19 "2015-06-22" 53 0.10436893498713 -0.119441023554481
"100" 20557 "F" 1 703 21 "2015-06-22" 53 -1.20237274604628 -1.42618270458789
"101" 20558 "F" 2 704 17 "2015-06-21" 53 0.10436893498713 -0.119477381244576
"102" 20559 "F" 2 704 17 "2015-06-21" 53 0.10436893498713 -0.119477381244576
"103" 20562 "F" 3 704 20 "2015-06-21" 53 0.758147443144371 0.534301126912665
"104" 20563 "F" 2 704 17 "2015-06-21" 53 0.10436893498713 -0.119477381244576
"105" 20567 "F" 2 702 20 "2015-06-23" 53 0.10436893498713 -0.119404665864387
"106" 20569 "F" 1 696 19 "2015-06-29" 53 -1.20237274604628 -1.42592820075723
"107" 20570 "F" 1 696 19 "2015-06-29" 53 -1.20237274604628 -1.42592820075723
"108" 20573 "F" 2 688 18 "2015-07-07" 54 0.10436893498713 -0.098984214422622
"109" 20580 "F" 2 687 18 "2015-07-08" 54 0.10436893498713 -0.0989478567325278
"110" 20581 "F" 1 687 18 "2015-07-08" 54 -1.20237274604628 -1.40568953776594
"111" 20583 "F" 3.5 687 19 "2015-07-08" 54 0.954065718000542 0.750748926280884
"112" 20616 "F" 1 661 18 "2015-08-03" 55 -1.20237274604628 -1.38483279404304
